2015.07.01,2015.07.02,2015.07.03,2015.07.04,2015.07.05,2015.07.06,2015.07.07,2015.07.08,2015.07.09,2015.07.10,2015.07.11,2015.07.12,2015.07.13,2015.07.14,2015.07.15,2015.07.16,2015.07.17,2015.07.18,2015.07.19,2015.07.20,2015.07.21,2015.07.22,2015.07.23,2015.07.24,2015.07.25,2015.07.26,2015.07.27,2015.07.28,2015.07.29,2015.07.30,2015.07.31
6.22,3.48,2.95,2.97,4.42,4.93,3.52,3.01,4.54,4.22,4.29,4.14,4.77,4.78,4.31,4.47,7.06,7.11,5.10,5.26,4.67,4.01,4.53,4.45,4.13,4.01,4.75,4.59,4.67,4.12,8.74
0.64,0.62,0.77,0.72,0.67,0.75,0.84,0.78,1.18,1.05,1.16,1.25,1.21,1.19,1.17,1.06,1.09,1.13,1.09,1.12,1.17,0.99,1.15,1.14,1.11,1.14,1.11,1.34,1.16,1.04,0.99
0.18,0.19,0.21,0.17,0.14,0.20,0.21,0.17,0.30,0.29,0.25,0.24,0.31,0.35,0.30,0.33,0.31,0.25,0.26,0.35,0.31,0.27,0.33,0.29,0.26,0.23,0.30,0.32,0.30,0.27,0.27
1.00,1.13,1.14,1.12,1.04,1.12,1.21,0.99,1.86,1.62,1.76,1.83,1.76,1.90,1.87,1.73,1.61,1.67,1.67,1.80,1.64,1.57,1.80,1.66,1.69,1.66,1.68,1.82,1.64,1.57,1.53
1.58,1.83,1.90,1.73,1.66,1.93,2.03,1.93,2.98,2.67,2.32,2.81,3.32,3.30,3.08,3.06,2.76,2.74,2.79,3.09,2.93,2.64,3.02,2.78,2.67,2.86,2.99,3.13,3.04,2.87,2.50
0.31,0.34,0.35,0.32,0.34,0.35,0.37,0.33,0.53,0.46,0.48,0.53,0.52,0.53,0.51,0.50,0.49,0.46,0.48,0.53,0.47,0.43,0.51,0.45,0.48,0.48,0.48,0.50,0.48,0.44,0.42
0.67,0.77,0.72,0.71,0.69,1.13,1.06,0.77,1.09,1.17,1.11,1.10,1.02,0.99,0.98,1.06,0.83,0.87,1.03,1.59,1.33,1.05,1.07,0.93,0.83,0.89,0.92,1.02,0.88,0.82,1.35
0.16,0.20,0.19,0.18,0.19,0.20,0.18,0.19,0.28,0.22,0.24,0.26,0.25,0.23,0.29,0.28,0.29,0.25,0.23,0.30,0.26,0.25,0.28,0.26,0.25,0.27,0.25,0.28,0.29,0.25,0.26
1.91,2.11,2.78,2.17,2.10,2.49,2.69,2.55,3.68,3.68,3.15,3.79,3.76,3.54,3.43,3.32,3.14,3.07,3.34,3.84,3.64,3.25,3.60,3.63,3.35,3.64,3.38,3.62,3.14,3.25,3.07
3.70,4.12,4.55,4.00,4.02,4.52,4.74,4.35,7.05,6.63,6.31,7.16,7.17,7.30,7.19,7.00,6.14,6.09,6.83,7.45,7.10,6.24,7.17,7.06,6.69,7.15,7.05,7.40,7.22,6.91,6.71
1.84,2.00,1.99,1.88,1.86,2.09,2.01,2.07,3.02,3.14,2.72,3.24,3.20,3.24,3.16,3.12,2.92,2.81,3.15,3.27,3.12,2.67,3.07,3.10,3.00,3.28,3.17,3.48,3.41,3.10,2.97
0.15,0.32,0.33,0.35,0.17,0.13,0.25,0.19,0.51,0.45,0.80,0.20,0.23,0.23,0.20,0.24,0.48,0.48,0.29,0.21,0.34,0.16,0.22,0.45,0.74,0.18,0.21,0.23,0.22,0.57,0.51
0.26,0.29,0.40,0.14,0.12,0.10,0.09,0.11,0.60,0.53,0.21,0.11,0.17,0.14,0.58,0.78,0.77,0.21,0.20,0.15,0.14,0.59,0.46,0.79,0.24,0.10,0.16,0.16,0.15,0.68,0.75
0.45,0.51,0.55,0.54,0.51,0.54,0.54,0.52,0.82,0.81,0.88,0.83,0.83,0.81,0.82,0.82,0.93,0.93,0.95,0.96,0.90,0.81,0.95,0.94,0.93,0.94,0.90,0.92,0.91,0.92,0.90
0.25,0.33,0.31,0.33,0.30,0.31,0.32,0.31,0.48,0.41,0.44,0.44,0.55,0.47,0.46,0.48,0.44,0.46,0.50,0.52,0.42,0.37,0.51,0.48,0.51,0.38,0.49,0.51,0.50,0.49,0.45